date,regime,log_return,body_ratio,upper_wick_ratio,lower_wick_ratio,range_zscore,volume_zscore,volume_delta,gap,atr7_norm,atr14_norm,atr28_norm,atr_ratio,rsi14,rsi28,macd_hist,roc_5,roc_10,roc_20,roc_60,bb_position,dist_sma20,dist_sma50,range_percentile,williams_r_14,stoch_k_14,realized_vol_ratio,obv_zscore,dist_52w_high,dist_52w_low,atr_momentum,cci_20,ichimoku_distance,vwap_distance,consec_bars,rsi_momentum,donchian_position,corr_index,dow_sin,dow_cos,month_sin,month_cos,quarter_end_flag
2015-09-16 00:00:00,1.0,-0.8326695,-1.3223686,-1.0044572,-0.42283326,0.29006848,-0.9446866,-0.21450512,0.6558631,0.4031445,0.6309691,1.0886798,-0.68273413,-0.96947086,-1.0473337,-0.27319464,-0.6894301,-0.31304452,-0.7626104,-0.27109334,-1.0780618,-0.62358135,-1.2420509,0.6994735,1.6635458,-1.6635458,0.16880505,0.019966412,-1.344451,-1.0035961,-0.31654716,-0.8850438,-0.34010017,-0.6715355,-0.36057362,-0.29868189,-0.91994643,0.19438131,0.95105654,0.309017,-1.0,-1.8369701e-16,0.0
2015-09-17 00:00:00,1.0,1.1424515,0.40720695,0.13204524,1.1432412,-0.6830558,-0.3412713,0.6655284,1.08414,0.19222125,0.42594132,0.8739654,-0.77433354,-0.38738015,-0.57515967,-0.10958274,-0.5402778,-0.21235622,-0.45581064,-0.05740237,-0.080909796,-0.16305067,-0.8802556,-0.67010295,0.6012057,-0.6012057,0.29521206,0.73948866,-0.9858533,-0.59564996,-0.12869392,-0.32728937,-0.014204301,-0.21107817,0.6232127,0.91001266,-0.019197775,0.24721485,0.58778524,-0.809017,-1.0,-1.8369701e-16,0.0
2015-09-18 00:00:00,1.0,-0.057133883,-1.198188,-1.2242341,0.11418222,-1.2841094,-0.20551686,-0.007202607,0.67686844,-0.45663917,0.0014897728,0.6038067,-1.4785768,-0.4043246,-0.5914912,0.010380659,0.052949037,0.024071516,-0.28994238,0.13981527,-0.06966388,-0.16267407,-0.9398656,-1.5809654,0.3890321,-0.3890321,-0.28725472,0.09082906,-1.1555507,-0.46966958,-0.71306014,0.008490507,-0.03992303,-0.21681839,-0.34802788,0.3264093,-0.053456187,0.072765075,-0.58778524,-0.809017,-1.0,-1.8369701e-16,0.0
2015-09-21 00:00:00,4.0,0.054388728,0.5032455,1.5264155,-0.47787124,-0.14663841,-0.034284733,-0.05796616,-0.43131012,-0.3825067,-0.024975216,0.54779136,-1.2710229,-0.36818594,-0.5672701,0.11040822,0.52791363,0.0058348933,0.016098108,0.37275216,-0.013011076,-0.14597562,-0.9301093,0.010448479,0.29908141,-0.29908141,-0.75289476,0.9311619,-1.1188974,-0.44559494,-0.84953356,0.021306003,-0.05462653,-0.1995766,0.60067487,0.7750425,-0.009755207,-0.6517556,-0.95105654,0.309017,-1.0,-1.8369701e-16,0.0
2015-09-22 00:00:00,4.0,-0.33992866,1.1906941,-0.90284616,-0.0887848,-1.1252743,-0.7634009,-0.87674624,-1.1871264,-0.6110638,-0.21059297,0.42126396,-1.459102,-0.52687186,-0.7056815,0.12956186,-0.006573748,-0.21966535,0.2426647,0.68532926,-0.3965285,-0.3114146,-1.0788963,-1.5816661,0.6337945,-0.6337945,-0.79173875,0.26477265,-1.3101928,-0.49738848,-0.8991968,-0.80663085,-0.07452996,-0.3903016,-0.39533705,-0.16987374,-0.22948085,-1.8652475,0.0,1.0,-1.0,-1.8369701e-16,0.0
2015-09-23 00:00:00,1.0,0.049327075,-0.8604044,-1.038334,0.88922095,-0.74801725,-1.3498089,-1.018282,0.7601958,-0.82861197,-0.42166418,0.2536001,-1.582054,-0.48615706,-0.68554455,0.16129762,0.4036567,-0.21818046,-0.14466634,0.5496551,-0.29865456,-0.2859604,-1.0750439,-1.0298991,0.5428237,-0.5428237,-1.2547287,0.6835253,-1.3648776,-0.41228428,-1.2198061,-0.36590508,-0.196986,-0.3715999,0.5930056,-0.08874455,-0.5528874,-1.0984957,0.95105654,0.309017,-1.0,-1.8369701e-16,0.0
2015-09-24 00:00:00,1.0,-0.8632492,0.42884317,0.95771015,0.2976243,-1.4242119,-0.20017122,1.7047628,-1.2510893,-0.78051895,-0.43110794,0.25116622,-1.4726832,-0.88829684,-1.0093367,0.032158818,-0.5209235,-0.770658,-0.3095084,-0.17805107,-1.0540353,-0.6157263,-1.3390527,-1.7454802,1.3187615,-1.3187615,-1.9880232,-0.05796333,-1.640727,-0.6948927,-1.1984681,-1.4142956,-0.23878852,-0.7084901,-0.3740108,-0.66768074,-1.37617,-0.61923337,0.58778524,-0.809017,-1.0,-1.8369701e-16,0.0
2015-09-25 00:00:00,1.0,1.106242,0.5785498,1.1030004,-0.21932681,-1.2037758,1.3528926,0.8400093,0.9359667,-0.6678862,-0.48232225,0.1097792,-1.1380864,-0.23811625,-0.5120528,0.15938354,0.002377893,0.040499307,-0.45849198,-0.17808677,0.14384091,-0.11005684,-0.90233755,-1.5996834,-0.051472105,0.051472105,-0.33761573,1.0430746,-1.1989924,-0.3118689,-0.63984007,0.084385075,-0.041295495,-0.15613353,0.6525646,0.3953525,-0.40860707,-2.2410874,-0.58778524,-0.809017,-1.0,-1.8369701e-16,1.0
2015-09-28 00:00:00,4.0,-0.22746034,-0.9420876,-0.44111538,0.030953027,-0.32919252,1.9185299,-0.09467827,0.4890349,-0.79036015,-0.59891105,0.008687411,-1.2139628,-0.34069422,-0.5948459,0.21151562,-0.123477295,0.2979551,-0.478689,0.1300206,0.030657375,-0.15702513,-0.96096355,-0.62732977,0.18276702,-0.18276702,-0.28247693,-0.07230602,-1.2950286,-0.34344727,-0.77356225,0.25555325,-0.05816252,-0.17479935,-0.3644192,0.19558084,-0.34151557,-2.2613506,-0.95105654,0.309017,-1.0,-1.8369701e-16,1.0
2015-09-29 00:00:00,1.0,0.21868475,1.2487638,-1.2125827,0.19619344,-0.55746084,-1.5361023,-1.4946712,-0.6830616,-0.9898907,-0.7916809,-0.16768834,-1.3360952,-0.19910577,-0.49293762,0.29253963,0.12762667,0.087478094,-0.30576408,0.46556827,0.47826016,-0.033237804,-0.86419153,-1.0022897,-0.12804739,0.12804739,-0.2752669,0.3773407,-1.2696712,-0.19394872,-0.72550356,-0.20543548,-0.059831094,-0.039370257,0.62914217,0.94236565,-0.08696216,-2.6676838,0.0,1.0,-1.0,-1.8369701e-16,1.0
