instrument,resolution,phase,ft_h1,ft_h5,ft_h20,ft_mean,base_h1,base_h5,base_h20,base_mean,delta_h1,delta_h5,delta_h20,delta_mean,recommendation,checkpoint_path
LSE_GSKL,4H,1,0.584,0.594,0.635,0.604,0.574,0.584,0.629,0.596,+0.010,+0.010,+0.006,+0.009,fine_tuned,models/fine_tuned/checkpoint_LSE_GSKL_4H_phase1_20260404.pt
LSE_HSBAL,1W,1,0.371,0.419,0.339,0.376,0.371,0.419,0.323,0.371,+0.000,+0.000,+0.016,+0.005,fine_tuned,models/fine_tuned/checkpoint_LSE_HSBAL_1W_phase1_20260404.pt
LSE_HSBAL,4H,1,0.609,0.609,0.635,0.618,0.609,0.609,0.650,0.623,+0.000,+0.000,-0.015,-0.005,base,models/fine_tuned/checkpoint_LSE_HSBAL_4H_phase1_20260404.pt
LSE_SHELL,1D,1,0.559,0.556,0.489,0.535,0.559,0.554,0.476,0.530,+0.000,+0.002,+0.013,+0.005,fine_tuned,models/fine_tuned/checkpoint_LSE_SHELL_1D_phase1_20260404.pt
LSE_SHELL,4H,1,0.563,0.543,0.492,0.533,0.553,0.543,0.487,0.528,+0.010,+0.000,+0.005,+0.005,fine_tuned,models/fine_tuned/checkpoint_LSE_SHELL_4H_phase1_20260404.pt
NIKKEI_N225,1D,1,0.564,0.543,0.525,0.544,0.564,0.545,0.525,0.545,+0.000,-0.002,+0.000,-0.001,fine_tuned,models/fine_tuned/checkpoint_NIKKEI_N225_1D_phase1_20260404.pt
NYMEX_CLF,1D,1,0.559,0.539,0.504,0.534,0.549,0.504,0.491,0.515,+0.010,+0.035,+0.013,+0.019,fine_tuned,models/fine_tuned/checkpoint_NYMEX_CLF_1D_phase1_20260404.pt
NYMEX_CLF,1H,1,0.559,0.538,0.516,0.538,0.561,0.533,0.521,0.538,-0.002,+0.005,-0.005,-0.001,fine_tuned,models/fine_tuned/checkpoint_NYMEX_CLF_1H_phase1_20260404.pt
NYMEX_CLF,4H,1,0.546,0.532,0.529,0.536,0.550,0.515,0.525,0.530,-0.004,+0.017,+0.004,+0.006,fine_tuned,models/fine_tuned/checkpoint_NYMEX_CLF_4H_phase1_20260404.pt
NYMEX_NGF,1H,1,0.577,0.566,0.516,0.553,0.577,0.561,0.519,0.552,+0.000,+0.005,-0.003,+0.001,fine_tuned,models/fine_tuned/checkpoint_NYMEX_NGF_1H_phase1_20260404.pt
NYMEX_NGF,4H,1,0.565,0.570,0.542,0.559,0.561,0.570,0.544,0.558,+0.004,+0.000,-0.002,+0.001,fine_tuned,models/fine_tuned/checkpoint_NYMEX_NGF_4H_phase1_20260404.pt
NYSE_AAPL,1H,1,0.538,0.538,0.526,0.534,0.536,0.524,0.542,0.534,+0.002,+0.014,-0.016,+0.000,fine_tuned,models/fine_tuned/checkpoint_NYSE_AAPL_1H_phase1_20260404.pt
NYSE_AAPL,4H,1,0.568,0.568,0.610,0.582,0.575,0.568,0.610,0.584,-0.007,+0.000,+0.000,-0.002,base,models/fine_tuned/checkpoint_NYSE_AAPL_4H_phase1_20260404.pt
NYSE_AMZN,1H,1,0.564,0.548,0.530,0.547,0.579,0.564,0.536,0.560,-0.015,-0.016,-0.006,-0.012,base,models/fine_tuned/checkpoint_NYSE_AMZN_1H_phase1_20260404.pt
NYSE_AMZN,4H,1,0.610,0.589,0.527,0.575,0.596,0.582,0.500,0.559,+0.014,+0.007,+0.027,+0.016,fine_tuned,models/fine_tuned/checkpoint_NYSE_AMZN_4H_phase1_20260404.pt
NYSE_BAC,1H,1,0.575,0.585,0.552,0.571,0.562,0.558,0.560,0.560,+0.013,+0.027,-0.008,+0.011,fine_tuned,models/fine_tuned/checkpoint_NYSE_BAC_1H_phase1_20260404.pt
NYSE_BAC,4H,1,0.575,0.610,0.603,0.596,0.596,0.596,0.630,0.607,-0.021,+0.014,-0.027,-0.011,base,models/fine_tuned/checkpoint_NYSE_BAC_4H_phase1_20260404.pt
NYSE_CVX,1D,1,0.572,0.577,0.506,0.552,0.572,0.554,0.506,0.544,+0.000,+0.023,+0.000,+0.008,fine_tuned,models/fine_tuned/checkpoint_NYSE_CVX_1D_phase1_20260404.pt
NYSE_CVX,1H,1,0.558,0.548,0.493,0.533,0.558,0.548,0.491,0.532,+0.000,+0.000,+0.002,+0.001,fine_tuned,models/fine_tuned/checkpoint_NYSE_CVX_1H_phase1_20260404.pt
NYSE_CVX,4H,1,0.548,0.521,0.479,0.516,0.548,0.527,0.500,0.525,+0.000,-0.006,-0.021,-0.009,base,models/fine_tuned/checkpoint_NYSE_CVX_4H_phase1_20260404.pt
NYSE_GOOGL,1H,1,0.542,0.540,0.560,0.547,0.552,0.546,0.562,0.553,-0.010,-0.006,-0.002,-0.006,base,models/fine_tuned/checkpoint_NYSE_GOOGL_1H_phase1_20260404.pt
NYSE_GOOGL,1W,1,0.581,0.597,0.371,0.516,0.565,0.597,0.339,0.500,+0.016,+0.000,+0.032,+0.016,fine_tuned,models/fine_tuned/checkpoint_NYSE_GOOGL_1W_phase1_20260404.pt
NYSE_GOOGL,4H,1,0.623,0.630,0.596,0.616,0.616,0.623,0.603,0.614,+0.007,+0.007,-0.007,+0.002,fine_tuned,models/fine_tuned/checkpoint_NYSE_GOOGL_4H_phase1_20260404.pt
NYSE_JNJ,1D,1,0.539,0.537,0.519,0.532,0.542,0.534,0.509,0.528,-0.003,+0.003,+0.010,+0.003,fine_tuned,models/fine_tuned/checkpoint_NYSE_JNJ_1D_phase1_20260404.pt
NYSE_JNJ,1H,1,0.544,0.560,0.546,0.550,0.542,0.560,0.546,0.549,+0.002,+0.000,+0.000,+0.001,fine_tuned,models/fine_tuned/checkpoint_NYSE_JNJ_1H_phase1_20260404.pt
NYSE_JNJ,1W,1,0.484,0.468,0.371,0.441,0.484,0.452,0.371,0.436,+0.000,+0.016,+0.000,+0.005,fine_tuned,models/fine_tuned/checkpoint_NYSE_JNJ_1W_phase1_20260404.pt
NYSE_JNJ,4H,1,0.589,0.623,0.644,0.619,0.589,0.623,0.644,0.619,+0.000,+0.000,+0.000,+0.000,fine_tuned,models/fine_tuned/checkpoint_NYSE_JNJ_4H_phase1_20260404.pt
NYSE_JPM,1H,1,0.587,0.607,0.587,0.594,0.597,0.591,0.581,0.590,-0.010,+0.016,+0.006,+0.004,fine_tuned,models/fine_tuned/checkpoint_NYSE_JPM_1H_phase1_20260404.pt
NYSE_JPM,4H,1,0.596,0.616,0.651,0.621,0.589,0.616,0.644,0.616,+0.007,+0.000,+0.007,+0.005,fine_tuned,models/fine_tuned/checkpoint_NYSE_JPM_4H_phase1_20260404.pt
NYSE_META,1D,1,0.554,0.531,0.514,0.533,0.552,0.537,0.509,0.533,+0.002,-0.006,+0.005,+0.000,fine_tuned,models/fine_tuned/checkpoint_NYSE_META_1D_phase1_20260404.pt
NYSE_META,1H,1,0.577,0.581,0.575,0.578,0.571,0.569,0.585,0.575,+0.006,+0.012,-0.010,+0.003,fine_tuned,models/fine_tuned/checkpoint_NYSE_META_1H_phase1_20260404.pt
NYSE_META,4H,1,0.541,0.623,0.507,0.557,0.568,0.623,0.507,0.566,-0.027,+0.000,+0.000,-0.009,base,models/fine_tuned/checkpoint_NYSE_META_4H_phase1_20260404.pt
NYSE_MSFT,1H,1,0.569,0.583,0.560,0.571,0.564,0.564,0.558,0.562,+0.005,+0.019,+0.002,+0.009,fine_tuned,models/fine_tuned/checkpoint_NYSE_MSFT_1H_phase1_20260404.pt
NYSE_MSFT,4H,1,0.603,0.616,0.534,0.584,0.603,0.616,0.534,0.584,+0.000,+0.000,+0.000,+0.000,fine_tuned,models/fine_tuned/checkpoint_NYSE_MSFT_4H_phase1_20260404.pt
NYSE_NVDA,1D,1,0.534,0.542,0.542,0.539,0.534,0.534,0.544,0.537,+0.000,+0.008,-0.002,+0.002,fine_tuned,models/fine_tuned/checkpoint_NYSE_NVDA_1D_phase1_20260404.pt
NYSE_NVDA,1H,1,0.554,0.566,0.524,0.548,0.534,0.542,0.540,0.539,+0.020,+0.024,-0.016,+0.009,fine_tuned,models/fine_tuned/checkpoint_NYSE_NVDA_1H_phase1_20260404.pt
NYSE_NVDA,4H,1,0.575,0.541,0.623,0.580,0.555,0.589,0.610,0.585,+0.020,-0.048,+0.013,-0.005,base,models/fine_tuned/checkpoint_NYSE_NVDA_4H_phase1_20260404.pt
NYSE_PG,1D,1,0.579,0.544,0.534,0.552,0.572,0.554,0.496,0.541,+0.007,-0.010,+0.038,+0.012,fine_tuned,models/fine_tuned/checkpoint_NYSE_PG_1D_phase1_20260404.pt
NYSE_PG,1H,1,0.593,0.573,0.564,0.577,0.577,0.556,0.564,0.566,+0.016,+0.017,+0.000,+0.011,fine_tuned,models/fine_tuned/checkpoint_NYSE_PG_1H_phase1_20260404.pt
NYSE_PG,4H,1,0.575,0.610,0.658,0.614,0.575,0.610,0.658,0.614,+0.000,+0.000,+0.000,+0.000,fine_tuned,models/fine_tuned/checkpoint_NYSE_PG_4H_phase1_20260404.pt
NYSE_TSLA,1H,1,0.521,0.534,0.519,0.525,0.519,0.528,0.515,0.521,+0.002,+0.006,+0.004,+0.004,fine_tuned,models/fine_tuned/checkpoint_NYSE_TSLA_1H_phase1_20260404.pt
NYSE_TSLA,4H,1,0.548,0.548,0.500,0.532,0.555,0.555,0.568,0.559,-0.007,-0.007,-0.068,-0.027,base,models/fine_tuned/checkpoint_NYSE_TSLA_4H_phase1_20260404.pt
NYSE_UNH,1H,1,0.573,0.552,0.558,0.561,0.564,0.542,0.540,0.549,+0.009,+0.010,+0.018,+0.012,fine_tuned,models/fine_tuned/checkpoint_NYSE_UNH_1H_phase1_20260405.pt
NYSE_UNH,4H,1,0.534,0.568,0.616,0.573,0.555,0.548,0.616,0.573,-0.021,+0.020,+0.000,-0.000,fine_tuned,models/fine_tuned/checkpoint_NYSE_UNH_4H_phase1_20260405.pt
NYSE_V,1H,1,0.575,0.566,0.540,0.560,0.566,0.564,0.536,0.555,+0.009,+0.002,+0.004,+0.005,fine_tuned,models/fine_tuned/checkpoint_NYSE_V_1H_phase1_20260405.pt
NYSE_V,4H,1,0.616,0.589,0.582,0.596,0.610,0.589,0.575,0.591,+0.006,+0.000,+0.007,+0.004,fine_tuned,models/fine_tuned/checkpoint_NYSE_V_4H_phase1_20260405.pt
NYSE_XOM,1D,1,0.544,0.539,0.448,0.510,0.549,0.539,0.458,0.515,-0.005,+0.000,-0.010,-0.005,base,models/fine_tuned/checkpoint_NYSE_XOM_1D_phase1_20260405.pt
NYSE_XOM,1H,1,0.556,0.562,0.501,0.540,0.560,0.550,0.503,0.538,-0.004,+0.012,-0.002,+0.002,fine_tuned,models/fine_tuned/checkpoint_NYSE_XOM_1H_phase1_20260405.pt
NYSE_XOM,1W,1,0.516,0.516,0.532,0.521,0.516,0.500,0.532,0.516,+0.000,+0.016,+0.000,+0.005,fine_tuned,models/fine_tuned/checkpoint_NYSE_XOM_1W_phase1_20260405.pt
NYSE_XOM,4H,1,0.582,0.575,0.541,0.566,0.568,0.555,0.575,0.566,+0.014,+0.020,-0.034,+0.000,fine_tuned,models/fine_tuned/checkpoint_NYSE_XOM_4H_phase1_20260405.pt
TSX_CNRTO,1D,1,0.545,0.520,0.490,0.518,0.548,0.553,0.490,0.530,-0.003,-0.033,+0.000,-0.012,base,models/fine_tuned/checkpoint_TSX_CNRTO_1D_phase1_20260405.pt
TSX_CNRTO,1H,1,0.533,0.533,0.547,0.538,0.543,0.541,0.545,0.543,-0.010,-0.008,+0.002,-0.005,base,models/fine_tuned/checkpoint_TSX_CNRTO_1H_phase1_20260405.pt
TSX_CNRTO,4H,1,0.531,0.571,0.646,0.583,0.531,0.565,0.646,0.581,+0.000,+0.006,+0.000,+0.002,fine_tuned,models/fine_tuned/checkpoint_TSX_CNRTO_4H_phase1_20260405.pt
TSX_MFCTO,1H,1,0.577,0.573,0.557,0.569,0.589,0.563,0.555,0.569,-0.012,+0.010,+0.002,+0.000,fine_tuned,models/fine_tuned/checkpoint_TSX_MFCTO_1H_phase1_20260405.pt
TSX_MFCTO,4H,1,0.585,0.585,0.599,0.590,0.585,0.585,0.599,0.590,+0.000,+0.000,+0.000,+0.000,fine_tuned,models/fine_tuned/checkpoint_TSX_MFCTO_4H_phase1_20260405.pt
TSX_RYTO,1H,1,0.528,0.526,0.504,0.519,0.543,0.526,0.502,0.524,-0.015,+0.000,+0.002,-0.004,base,models/fine_tuned/checkpoint_TSX_RYTO_1H_phase1_20260405.pt
TSX_RYTO,1W,1,0.500,0.468,0.435,0.468,0.500,0.452,0.435,0.462,+0.000,+0.016,+0.000,+0.005,fine_tuned,models/fine_tuned/checkpoint_TSX_RYTO_1W_phase1_20260405.pt
TSX_RYTO,4H,1,0.537,0.592,0.633,0.587,0.537,0.585,0.626,0.583,+0.000,+0.007,+0.007,+0.005,fine_tuned,models/fine_tuned/checkpoint_TSX_RYTO_4H_phase1_20260405.pt
TSX_SUTO,1D,1,0.568,0.525,0.462,0.518,0.573,0.528,0.462,0.521,-0.005,-0.003,+0.000,-0.003,base,models/fine_tuned/checkpoint_TSX_SUTO_1D_phase1_20260405.pt
TSX_SUTO,1H,1,0.553,0.539,0.537,0.543,0.553,0.537,0.539,0.543,+0.000,+0.002,-0.002,+0.000,fine_tuned,models/fine_tuned/checkpoint_TSX_SUTO_1H_phase1_20260405.pt
TSX_SUTO,1W,1,0.484,0.532,0.581,0.532,0.484,0.484,0.548,0.505,+0.000,+0.048,+0.033,+0.027,fine_tuned,models/fine_tuned/checkpoint_TSX_SUTO_1W_phase1_20260405.pt
TSX_SUTO,4H,1,0.558,0.558,0.544,0.553,0.558,0.558,0.517,0.544,+0.000,+0.000,+0.027,+0.009,fine_tuned,models/fine_tuned/checkpoint_TSX_SUTO_4H_phase1_20260405.pt
TSX_TDTO,1H,1,0.545,0.514,0.508,0.522,0.549,0.522,0.504,0.525,-0.004,-0.008,+0.004,-0.003,base,models/fine_tuned/checkpoint_TSX_TDTO_1H_phase1_20260405.pt
TSX_TDTO,1W,1,0.484,0.419,0.387,0.430,0.484,0.419,0.387,0.430,+0.000,+0.000,+0.000,+0.000,fine_tuned,models/fine_tuned/checkpoint_TSX_TDTO_1W_phase1_20260405.pt
TSX_TDTO,4H,1,0.524,0.517,0.571,0.537,0.524,0.510,0.565,0.533,+0.000,+0.007,+0.006,+0.004,fine_tuned,models/fine_tuned/checkpoint_TSX_TDTO_4H_phase1_20260405.pt
