instrument,resolution,phase,ft_h1,ft_h5,ft_h20,ft_mean,base_h1,base_h5,base_h20,base_mean,delta_h1,delta_h5,delta_h20,delta_mean,recommendation,checkpoint_path
NYSE_BAC,1D,3,0.567,0.557,0.567,0.564,0.569,0.549,0.567,0.562,-0.002,+0.008,+0.000,+0.002,fine_tuned,models/fine_tuned/checkpoint_NYSE_BAC_1D_phase3_20260404.pt
NYSE_BAC,1W,3,0.548,0.516,0.597,0.554,0.581,0.532,0.613,0.575,-0.033,-0.016,-0.016,-0.022,base,models/fine_tuned/checkpoint_NYSE_BAC_1W_phase3_20260404.pt
NYSE_CVX,1W,3,0.581,0.581,0.677,0.613,0.581,0.597,0.677,0.618,+0.000,-0.016,+0.000,-0.005,base,models/fine_tuned/checkpoint_NYSE_CVX_1W_phase3_20260404.pt
NYSE_GOOGL,1D,3,0.547,0.557,0.567,0.557,0.544,0.554,0.574,0.557,+0.003,+0.003,-0.007,-0.000,fine_tuned,models/fine_tuned/checkpoint_NYSE_GOOGL_1D_phase3_20260404.pt
NYSE_JPM,1D,3,0.549,0.572,0.562,0.561,0.552,0.567,0.582,0.567,-0.003,+0.005,-0.020,-0.006,base,models/fine_tuned/checkpoint_NYSE_JPM_1D_phase3_20260404.pt
NYSE_JPM,1W,3,0.484,0.500,0.548,0.511,0.484,0.565,0.548,0.532,+0.000,-0.065,+0.000,-0.022,base,models/fine_tuned/checkpoint_NYSE_JPM_1W_phase3_20260404.pt
NYSE_META,1W,3,0.548,0.581,0.629,0.586,0.548,0.581,0.629,0.586,+0.000,+0.000,+0.000,+0.000,fine_tuned,models/fine_tuned/checkpoint_NYSE_META_1W_phase3_20260404.pt
NYSE_MSFT,1D,3,0.559,0.559,0.579,0.566,0.559,0.552,0.597,0.569,+0.000,+0.007,-0.018,-0.004,base,models/fine_tuned/checkpoint_NYSE_MSFT_1D_phase3_20260404.pt
NYSE_MSFT,1W,3,0.516,0.565,0.645,0.575,0.516,0.565,0.629,0.570,+0.000,+0.000,+0.016,+0.005,fine_tuned,models/fine_tuned/checkpoint_NYSE_MSFT_1W_phase3_20260404.pt
NYSE_NVDA,1W,3,0.548,0.565,0.661,0.591,0.565,0.565,0.661,0.597,-0.017,+0.000,+0.000,-0.006,base,models/fine_tuned/checkpoint_NYSE_NVDA_1W_phase3_20260404.pt
NYSE_PG,1W,3,0.435,0.516,0.661,0.537,0.452,0.500,0.661,0.538,-0.017,+0.016,+0.000,-0.000,fine_tuned,models/fine_tuned/checkpoint_NYSE_PG_1W_phase3_20260404.pt
NYSE_TSLA,1D,3,0.554,0.524,0.549,0.542,0.554,0.542,0.552,0.549,+0.000,-0.018,-0.003,-0.007,base,models/fine_tuned/checkpoint_NYSE_TSLA_1D_phase3_20260404.pt
NYSE_TSLA,1W,3,0.581,0.565,0.548,0.565,0.581,0.581,0.548,0.570,+0.000,-0.016,+0.000,-0.005,base,models/fine_tuned/checkpoint_NYSE_TSLA_1W_phase3_20260404.pt
NYSE_UNH,1D,3,0.557,0.554,0.554,0.555,0.557,0.559,0.547,0.554,+0.000,-0.005,+0.007,+0.001,fine_tuned,models/fine_tuned/checkpoint_NYSE_UNH_1D_phase3_20260404.pt
NYSE_UNH,1W,3,0.548,0.581,0.661,0.597,0.532,0.565,0.694,0.597,+0.016,+0.016,-0.033,-0.000,fine_tuned,models/fine_tuned/checkpoint_NYSE_UNH_1W_phase3_20260405.pt
NYSE_V,1D,3,0.534,0.549,0.557,0.547,0.529,0.534,0.562,0.542,+0.005,+0.015,-0.005,+0.005,fine_tuned,models/fine_tuned/checkpoint_NYSE_V_1D_phase3_20260405.pt
NYSE_V,1W,3,0.532,0.565,0.629,0.575,0.452,0.581,0.629,0.554,+0.080,-0.016,+0.000,+0.021,fine_tuned,models/fine_tuned/checkpoint_NYSE_V_1W_phase3_20260405.pt
TSX_CNRTO,1W,3,0.500,0.532,0.597,0.543,0.500,0.532,0.581,0.538,+0.000,+0.000,+0.016,+0.005,fine_tuned,models/fine_tuned/checkpoint_TSX_CNRTO_1W_phase3_20260405.pt
TSX_MFCTO,1D,3,0.543,0.563,0.578,0.561,0.553,0.556,0.571,0.560,-0.010,+0.007,+0.007,+0.001,fine_tuned,models/fine_tuned/checkpoint_TSX_MFCTO_1D_phase3_20260405.pt
