phase,epoch,train_loss,val_loss,acc_h1,acc_h5,acc_h20
1,1,0.2459638377894526,0.24644369988337808,0.5622735515884731,0.5581974646319514,0.5313254828038423
1,2,0.24605556480262591,0.24644283950328827,0.5615942037623861,0.5581974646319514,0.5313254828038423
1,3,0.24595922620400137,0.24644531827905905,0.5602355081102123,0.5551026567168857,0.5307971005854399
1,4,0.24587149658928747,0.24644670019979062,0.5622735515884731,0.5532155788463095,0.5295893731324569
1,5,0.24603745276513306,0.24644602446452432,0.56483997469363,0.5559329701506573,0.5302687209585438
1,6,0.24587750758813776,0.24645120488560718,0.565519322519717,0.5559329701506573,0.5316274166107178
1,7,0.24588505275871442,0.24645590328651926,0.5641606268675431,0.5566123179767443,0.527551329654196
1,8,0.24581269595933997,0.24645759165287018,0.565519322519717,0.5566123179767443,0.5268719818281091
1,9,0.24586964171865713,0.24645932277907495,0.566198670345804,0.5559329701506573,0.5256642517836198
1,10,0.24591629790223163,0.24646187411702197,0.5668780181718909,0.5579710136289182,0.5263435996097067
1,11,0.2458631888679836,0.24646212290162625,0.5668780181718909,0.5586503614550051,0.5249849039575328
