phase,epoch,train_loss,val_loss,acc_h1,acc_h5,acc_h20,gap
1,1,0.2461913036448615,0.2569386959075928,0.4615384638309479,0.6153846383094788,1.0,
1,2,0.24696625343390874,0.256960391998291,0.4615384638309479,0.6153846383094788,1.0,
1,3,0.24661632946559361,0.25695839524269104,0.4615384638309479,0.6153846383094788,1.0,
1,4,0.24485036517892564,0.25694403052330017,0.4615384638309479,0.6153846383094788,1.0,
1,5,0.2460323806319918,0.25701284408569336,0.4615384638309479,0.6153846383094788,1.0,
1,6,0.2482000951256071,0.25703004002571106,0.4615384638309479,0.6153846383094788,1.0,
1,7,0.24561834335327148,0.2569854259490967,0.4615384638309479,0.6153846383094788,1.0,
1,8,0.24704359471797943,0.25707530975341797,0.4615384638309479,0.6153846383094788,1.0,
1,9,0.24800455144473485,0.2571154236793518,0.4615384638309479,0.6153846383094788,1.0,
1,10,0.24528483194964273,0.25717929005622864,0.4615384638309479,0.6153846383094788,1.0,
1,11,0.24513933488300868,0.25726670026779175,0.4615384638309479,0.6153846383094788,1.0,
3,1,0.2453156943832125,0.25702348351478577,0.4615384638309479,0.6153846383094788,1.0,-0.011707789131573276
3,2,0.24668394242014205,0.25725311040878296,0.4615384638309479,0.6153846383094788,1.0,-0.01056916798864091
3,3,0.24634672488485063,0.2574561536312103,0.4615384638309479,0.6153846383094788,1.0,-0.0111094287463597
3,4,0.24684324647699082,0.25760266184806824,0.4615384638309479,0.6153846383094788,1.0,-0.010759415371077413
3,5,0.24522815644741058,0.2577284574508667,0.4615384638309479,0.6153846383094788,1.0,-0.012500301003456116
3,6,0.24693426064082555,0.2578512728214264,0.4615384638309479,0.6153846383094788,1.0,-0.010917012180600844
3,7,0.24474238284996577,0.2578757703304291,0.4615384638309479,0.6153846383094788,1.0,-0.013133387480463304
3,8,0.24621872391019547,0.2579270601272583,0.4615384638309479,0.6153846383094788,1.0,-0.011708336217062826
3,9,0.2449028342962265,0.2579364776611328,0.4615384638309479,0.6153846383094788,1.0,-0.013033643364906311
