phase,epoch,train_loss,val_loss,acc_h1,acc_h5,acc_h20
1,1,0.24649203341940176,0.24547488339569257,0.5543478260869565,0.5176630434782609,0.49728260869565216
1,2,0.24639470162598984,0.2454759076885555,0.5591032608695652,0.5271739130434783,0.49116847826086957
1,3,0.24646250190942184,0.24549416873766028,0.5625,0.5197010869565217,0.4945652173913043
1,4,0.2467864602804184,0.2455274663541628,0.5597826086956522,0.5244565217391305,0.4952445652173913
1,5,0.2463534642820773,0.2455711876568587,0.5604619565217391,0.5244565217391305,0.49728260869565216
1,6,0.2466594706410947,0.24559627862080283,0.5618206521739131,0.5278532608695652,0.49320652173913043
1,7,0.2461154888505521,0.24563279877538266,0.5604619565217391,0.5292119565217391,0.4945652173913043
1,8,0.2467719659857128,0.2456417414157287,0.5591032608695652,0.5285326086956522,0.49592391304347827
1,9,0.24643119716125986,0.24566665810087454,0.5625,0.5278532608695652,0.4952445652173913
1,10,0.24613622932330423,0.24568630690160004,0.561141304347826,0.5285326086956522,0.49728260869565216
1,11,0.24610873797665472,0.24571211571278778,0.5625,0.5305706521739131,0.49592391304347827
