phase,epoch,train_loss,val_loss,acc_h1,acc_h5,acc_h20
1,1,0.24462391005622017,0.2467657561813082,0.5317691053662982,0.5316652825900486,0.5583471740995135
1,2,0.24466373986668058,0.24676193722656795,0.5328592232295445,0.5294331397329058,0.5594372919627598
1,3,0.24476091762383778,0.24676524528435298,0.5395556518009731,0.5372715932982308,0.5639015776770455
1,4,0.24420870310730405,0.24677618273666926,0.5451100468635559,0.5372715932982308,0.562759552683149
1,5,0.24470578531424206,0.24680141253130777,0.5484842232295445,0.5372715932982308,0.557205149105617
1,6,0.24445876512262557,0.24680395424365997,0.5440199375152588,0.5372715932982308,0.5594372919627598
1,7,0.24477975136703914,0.2468237578868866,0.5417877946581159,0.54059385401862,0.5594372919627598
1,8,0.24426561295986177,0.24682274460792542,0.5440199375152588,0.54059385401862,0.5594372919627598
1,9,0.2445673316717148,0.24683100197996413,0.5440199375152588,0.5372715932982308,0.5594372919627598
1,10,0.24424737526310814,0.24683454207011632,0.5417877946581159,0.5395037361553737,0.5594372919627598
1,11,0.24439251091745165,0.24683563198362077,0.5417877946581159,0.5395037361553737,0.557205149105617
