phase,epoch,train_loss,val_loss,acc_h1,acc_h5,acc_h20
1,1,0.2480083801176237,0.2465338357116865,0.5356749399848606,0.5272106346876725,0.5234283195889514
1,2,0.24806165306464487,0.24648534150227255,0.530919505202252,0.5319660694702811,0.5213902761106906
1,3,0.24780193100804868,0.24646733701229095,0.529560809550078,0.5292486781659334,0.5207109282846036
1,4,0.24788286180599875,0.2464538741370906,0.5329575486805128,0.5285693303398464,0.5173141891541688
1,5,0.24796594031479047,0.2464442816765412,0.530919505202252,0.5272106346876725,0.5166348413280819
1,6,0.24777304089587668,0.24644066976464313,0.5322782008544259,0.5258519390354985,0.5159554935019949
1,7,0.24771653439687646,0.24643789555715478,0.530919505202252,0.5251725912094116,0.514596797849821
1,8,0.24772890171279077,0.24643767981425577,0.5315988530283389,0.5272106346876725,0.5132381021976471
1,9,0.24777948661990787,0.2464377646860869,0.5322782008544259,0.5278899825137594,0.5112000587193862
1,10,0.24776846105637756,0.2464418897162313,0.5315988530283389,0.5306073738181073,0.5105207108932993
1,11,0.24775823756404544,0.24644260108470917,0.5322782008544259,0.5306073738181073,0.5098413630672123
