phase,epoch,train_loss,val_loss,acc_h1,acc_h5,acc_h20,gap
1,1,0.2461512280361993,0.2571115493774414,0.3076923191547394,0.4615384638309479,1.0,
1,2,0.24880234684262956,0.2574847936630249,0.23076923191547394,0.4615384638309479,1.0,
1,3,0.24631542606013163,0.2576630413532257,0.23076923191547394,0.4615384638309479,1.0,
1,4,0.24478124720709665,0.257820188999176,0.23076923191547394,0.4615384638309479,1.0,
1,5,0.24559479100363596,0.2582716643810272,0.23076923191547394,0.4615384638309479,1.0,
1,6,0.24497818095343454,0.2585434913635254,0.23076923191547394,0.4615384638309479,1.0,
1,7,0.2447334315095629,0.2590025067329407,0.23076923191547394,0.4615384638309479,1.0,
1,8,0.24552397642816817,0.25938141345977783,0.23076923191547394,0.4615384638309479,1.0,
1,9,0.24524036262716567,0.2598060965538025,0.23076923191547394,0.4615384638309479,1.0,
1,10,0.24505455791950226,0.2600707709789276,0.23076923191547394,0.4615384638309479,1.0,
1,11,0.2470072145972933,0.2604243755340576,0.23076923191547394,0.4615384638309479,1.0,
3,1,0.24665708201272146,0.25816309452056885,0.23076923191547394,0.4615384638309479,1.0,-0.011506012507847385
3,2,0.24496929773262568,0.25877296924591064,0.23076923191547394,0.4615384638309479,1.0,-0.01380367151328496
3,3,0.24591790778296335,0.25929179787635803,0.23076923191547394,0.4615384638309479,1.0,-0.01337389009339468
3,4,0.24671443445341928,0.26006340980529785,0.23076923191547394,0.4615384638309479,1.0,-0.013348975351878567
3,5,0.24354022102696554,0.2606923580169678,0.23076923191547394,0.4615384638309479,1.0,-0.01715213699000223
3,6,0.24621545842715672,0.2611567974090576,0.23076923191547394,0.4615384638309479,1.0,-0.014941338981900892
3,7,0.24598552925246103,0.26166051626205444,0.23076923191547394,0.4615384638309479,1.0,-0.01567498700959341
3,8,0.24604095944336482,0.26205629110336304,0.23076923191547394,0.4615384638309479,1.0,-0.016015331659998217
3,9,0.24637910723686218,0.26225024461746216,0.23076923191547394,0.4615384638309479,1.0,-0.015871137380599976
