phase,epoch,train_loss,val_loss,acc_h1,acc_h5,acc_h20
1,1,0.24611100227367588,0.2537762224674225,0.4838709533214569,0.4354838728904724,0.35483869910240173
1,2,0.2460247096492023,0.25367528200149536,0.5,0.4032258093357086,0.35483869910240173
1,3,0.2460770308971405,0.25391268730163574,0.5,0.4032258093357086,0.3709677457809448
1,4,0.24586961836349674,0.2539936900138855,0.5,0.4032258093357086,0.3709677457809448
1,5,0.24574396123246448,0.25383085012435913,0.5,0.3870967626571655,0.3709677457809448
1,6,0.245849964095325,0.254035085439682,0.4838709533214569,0.3870967626571655,0.4032258093357086
1,7,0.24579009704473542,0.2542961835861206,0.5,0.3870967626571655,0.3709677457809448
1,8,0.24583140015602112,0.25421005487442017,0.4838709533214569,0.3870967626571655,0.3709677457809448
1,9,0.24589581533176144,0.254364013671875,0.5161290168762207,0.3870967626571655,0.3709677457809448
1,10,0.24573702528709318,0.25432881712913513,0.5161290168762207,0.3870967626571655,0.3709677457809448
1,11,0.24566384895545681,0.2545055150985718,0.5161290168762207,0.3870967626571655,0.3709677457809448
1,12,0.24582796525664447,0.2545609772205353,0.5161290168762207,0.4032258093357086,0.3870967626571655
