phase,epoch,train_loss,val_loss,acc_h1,acc_h5,acc_h20
1,1,0.24640699566864385,0.2524634003639221,0.4677419364452362,0.4193548262119293,0.3709677457809448
1,2,0.24631047939381948,0.25249436497688293,0.4677419364452362,0.4193548262119293,0.3709677457809448
1,3,0.2463265359401703,0.2522447109222412,0.4838709533214569,0.3870967626571655,0.3870967626571655
1,4,0.2464664531190221,0.2522709369659424,0.4677419364452362,0.4354838728904724,0.3870967626571655
1,5,0.24635905499865368,0.252220094203949,0.4838709533214569,0.4193548262119293,0.3870967626571655
1,6,0.24628830464874826,0.2521512806415558,0.4838709533214569,0.4354838728904724,0.3870967626571655
1,7,0.24618195251720706,0.2524241805076599,0.4677419364452362,0.4193548262119293,0.3870967626571655
1,8,0.24632028363099912,0.2524925768375397,0.4677419364452362,0.4032258093357086,0.3870967626571655
1,9,0.2461129961217322,0.2525230050086975,0.4516128897666931,0.4354838728904724,0.3870967626571655
1,10,0.2461350185842049,0.2524949908256531,0.4516128897666931,0.4354838728904724,0.3870967626571655
1,11,0.24608138639752458,0.25260066986083984,0.4354838728904724,0.4354838728904724,0.3870967626571655
1,12,0.2461951313222327,0.25256890058517456,0.4677419364452362,0.4354838728904724,0.3870967626571655
1,13,0.24621534783665727,0.25259479880332947,0.4677419364452362,0.4354838728904724,0.3870967626571655
