phase,epoch,train_loss,val_loss,acc_h1,acc_h5,acc_h20,gap
1,1,0.24871728640227092,0.2460298240184784,0.5555555820465088,0.6507936716079712,0.6666666865348816,
1,2,0.24844176322221756,0.24603252112865448,0.5396825671195984,0.6349206566810608,0.6666666865348816,
1,3,0.24846932221026646,0.24598702788352966,0.5555555820465088,0.6507936716079712,0.6507936716079712,
1,4,0.2482610692580541,0.24604491889476776,0.5396825671195984,0.6507936716079712,0.6507936716079712,
1,5,0.24824896774121694,0.24617132544517517,0.5396825671195984,0.6507936716079712,0.6666666865348816,
1,6,0.2481617665007001,0.24613822996616364,0.5555555820465088,0.6666666865348816,0.6507936716079712,
1,7,0.2480557475771223,0.24624374508857727,0.5555555820465088,0.6666666865348816,0.6666666865348816,
1,8,0.24812868876116617,0.24619418382644653,0.5714285969734192,0.6507936716079712,0.6666666865348816,
1,9,0.24811421866927827,0.2462587058544159,0.5555555820465088,0.6666666865348816,0.6507936716079712,
1,10,0.2480237093709764,0.24625426530838013,0.5714285969734192,0.6666666865348816,0.6507936716079712,
1,11,0.24808905770381293,0.2462691068649292,0.5555555820465088,0.6666666865348816,0.6507936716079712,
3,1,0.24849858241421835,0.24600660800933838,0.5555555820465088,0.6349206566810608,0.6666666865348816,0.002491974404879971
3,2,0.2482306378937903,0.24609559774398804,0.5396825671195984,0.6349206566810608,0.6666666865348816,0.0021350401498022586
3,3,0.24824730980963933,0.24614980816841125,0.5396825671195984,0.6507936716079712,0.6666666865348816,0.0020975016412280723
3,4,0.24823189278443655,0.2463972121477127,0.5555555820465088,0.6349206566810608,0.6666666865348816,0.0018346806367238455
3,5,0.24805381823153722,0.24626663327217102,0.523809552192688,0.6507936716079712,0.6666666865348816,0.0017871849593661948
3,6,0.24825005765472138,0.24643926322460175,0.523809552192688,0.6190476417541504,0.6666666865348816,0.0018107944301196388
3,7,0.2481671514965239,0.24643996357917786,0.5396825671195984,0.6190476417541504,0.6666666865348816,0.0017271879173460514
3,8,0.2480205978666033,0.24644064903259277,0.523809552192688,0.6190476417541504,0.6666666865348816,0.001579948834010525
3,9,0.24793367974814914,0.24641475081443787,0.523809552192688,0.6190476417541504,0.6507936716079712,0.0015189289337112777
