phase,epoch,train_loss,val_loss,acc_h1,acc_h5,acc_h20
1,1,0.24413667851024204,0.24582186554159438,0.5542462638446263,0.5296926924160549,0.5096034067017692
1,2,0.244130073984464,0.2457567879131862,0.5542462638446263,0.5341569781303406,0.511835549558912
1,3,0.24378974338372547,0.24571880485330308,0.5564784067017692,0.5341569781303406,0.5129256631646838
1,4,0.243586109413041,0.2456893984760557,0.5508720917361123,0.5319248352731977,0.5184800667422158
1,5,0.24390839437643688,0.24568375519343785,0.5486399488789695,0.5441756631646838,0.508461377450398
1,6,0.24334809813234543,0.24568962837968553,0.5464078060218266,0.5374792345932552,0.508461377450398
1,7,0.24360361132356856,0.24569957171167647,0.5464078060218266,0.5419435203075409,0.5251764953136444
1,8,0.2432501385609309,0.2457114032336644,0.5486399488789695,0.539711377450398,0.5318210124969482
1,9,0.24328862759802078,0.24574036257607595,0.5531042345932552,0.5296926924160549,0.5295888696398053
1,10,0.2434102988905377,0.24575485289096832,0.5531042345932552,0.539711377450398,0.5318210124969482
1,11,0.2425629526376724,0.24576325714588165,0.5497819781303406,0.5341569781303406,0.5295888696398053
1,12,0.24311505059401195,0.24578253711972917,0.5497819781303406,0.5341569781303406,0.5295888696398053
1,13,0.24314672317769792,0.2457920504467828,0.5497819781303406,0.5296926924160549,0.5329111303601947
