phase,epoch,train_loss,val_loss,acc_h1,acc_h5,acc_h20
1,1,0.3477800146835606,0.350719819466273,0.5341901878515879,0.515625,0.4942036271095276
1,2,0.34803630375280614,0.35073677202065784,0.5341901878515879,0.4999159922202428,0.4942036271095276
1,3,0.3477478012806032,0.35076581438382465,0.5367943545182546,0.4999159922202428,0.4915994604428609
1,4,0.34760834967217796,0.35081933438777924,0.5341061850388845,0.49462365607420605,0.4942036271095276
1,5,0.3480648631002845,0.3508313198884328,0.5393985211849213,0.49462365607420605,0.4863911271095276
1,6,0.34805197250552294,0.35086455941200256,0.5420026878515879,0.48681115607420605,0.4837869604428609
1,7,0.34811534314620785,0.3508516699075699,0.5393985211849213,0.48681115607420605,0.4837869604428609
1,8,0.34773021136842125,0.3508088191350301,0.5341901878515879,0.49462365607420605,0.48370295763015747
1,9,0.3477842000926413,0.35080213844776154,0.5393985211849213,0.49731182555357617,0.4863911271095276
1,10,0.34800623175574513,0.3508676042159398,0.5367103517055511,0.49462365607420605,0.4810987909634908
1,11,0.3479336703695902,0.3508741110563278,0.5393985211849213,0.49201948940753937,0.4810987909634908
