phase,epoch,train_loss,val_loss,acc_h1,acc_h5,acc_h20,gap
1,1,0.24763778869698688,0.254309743642807,0.4262295067310333,0.5245901346206665,0.6065573692321777,
1,2,0.2476526778645632,0.2539840638637543,0.4262295067310333,0.49180328845977783,0.6229507923126221,
1,3,0.2473430986084589,0.25374317169189453,0.4262295067310333,0.49180328845977783,0.6393442749977112,
1,4,0.2475567917998244,0.2535839080810547,0.4262295067310333,0.4754098355770111,0.6229507923126221,
1,5,0.24746650675447976,0.2534840703010559,0.4262295067310333,0.4754098355770111,0.6557376980781555,
1,6,0.24740705548263178,0.2533177137374878,0.4262295067310333,0.4754098355770111,0.6721311211585999,
1,7,0.24745485186576843,0.2532097399234772,0.4262295067310333,0.4754098355770111,0.6721311211585999,
1,8,0.24740646016306994,0.25316137075424194,0.4262295067310333,0.4754098355770111,0.6721311211585999,
1,9,0.24751825194533278,0.2530660927295685,0.4262295067310333,0.4754098355770111,0.6721311211585999,
1,10,0.2474059662440928,0.25295811891555786,0.4262295067310333,0.4590163826942444,0.6721311211585999,
1,11,0.2473816907987362,0.2528817653656006,0.4262295067310333,0.4590163826942444,0.6721311211585999,
1,12,0.24737935713151607,0.2528841495513916,0.4262295067310333,0.4590163826942444,0.6721311211585999,
1,13,0.2473957723960644,0.25285762548446655,0.4262295067310333,0.4590163826942444,0.6721311211585999,
1,14,0.2474030728747205,0.2528156042098999,0.4262295067310333,0.4590163826942444,0.688524603843689,
1,15,0.24733970986633766,0.25278666615486145,0.4098360538482666,0.4590163826942444,0.688524603843689,
1,16,0.24722727442659984,0.25278377532958984,0.4262295067310333,0.4590163826942444,0.688524603843689,
1,17,0.24736771532675114,0.25276485085487366,0.4262295067310333,0.4590163826942444,0.688524603843689,
1,18,0.2474488343407468,0.25277572870254517,0.4262295067310333,0.4590163826942444,0.688524603843689,
1,19,0.24728741842072186,0.25274813175201416,0.4262295067310333,0.4590163826942444,0.688524603843689,
1,20,0.247162616107522,0.25272810459136963,0.4262295067310333,0.4590163826942444,0.688524603843689,
1,21,0.24734104915363034,0.2527390718460083,0.4262295067310333,0.4590163826942444,0.688524603843689,
1,22,0.24741574322305074,0.2527283728122711,0.4262295067310333,0.4590163826942444,0.688524603843689,
1,23,0.24741169410507854,0.25272008776664734,0.4262295067310333,0.4590163826942444,0.688524603843689,
1,24,0.24734776303535555,0.2527126371860504,0.4262295067310333,0.4590163826942444,0.688524603843689,
1,25,0.24733210918379994,0.2527051568031311,0.4262295067310333,0.4590163826942444,0.688524603843689,
1,26,0.24740598659689833,0.2527075409889221,0.4262295067310333,0.4590163826942444,0.688524603843689,
1,27,0.2473389462726872,0.25270479917526245,0.4262295067310333,0.4590163826942444,0.688524603843689,
1,28,0.24731693943826163,0.2527068257331848,0.4262295067310333,0.4590163826942444,0.688524603843689,
1,29,0.24747635351448524,0.25270599126815796,0.4262295067310333,0.4590163826942444,0.688524603843689,
3,1,0.2475353602955981,0.25266602635383606,0.4098360538482666,0.4590163826942444,0.688524603843689,-0.005130666058237948
3,2,0.24728933158444194,0.2527182996273041,0.4098360538482666,0.4590163826942444,0.6721311211585999,-0.005428968042862137
3,3,0.24735310528336502,0.2527163624763489,0.4098360538482666,0.4754098355770111,0.688524603843689,-0.005363257192983861
3,4,0.24721398586180152,0.2526952028274536,0.4262295067310333,0.4590163826942444,0.6721311211585999,-0.005481216965652097
3,5,0.24729383682332387,0.25274908542633057,0.4098360538482666,0.4590163826942444,0.6721311211585999,-0.005455248603006696
3,6,0.24710274106118738,0.2527921199798584,0.4098360538482666,0.4590163826942444,0.688524603843689,-0.005689378918671023
3,7,0.24716123029953097,0.2528383135795593,0.4098360538482666,0.4590163826942444,0.6721311211585999,-0.005677083280028361
3,8,0.24737557114624395,0.25282996892929077,0.4098360538482666,0.4590163826942444,0.688524603843689,-0.0054543977830468215
3,9,0.2474452555179596,0.2528592646121979,0.4098360538482666,0.44262295961380005,0.688524603843689,-0.005414009094238281
