phase,epoch,train_loss,val_loss,acc_h1,acc_h5,acc_h20,gap
1,1,0.2466838083096913,0.25413739681243896,0.38461539149284363,0.692307710647583,1.0,
1,2,0.24790462212903158,0.2544664740562439,0.38461539149284363,0.692307710647583,1.0,
1,3,0.246789955667087,0.2547752857208252,0.38461539149284363,0.692307710647583,1.0,
1,4,0.24702428494180953,0.2550289034843445,0.38461539149284363,0.692307710647583,1.0,
1,5,0.24755219689437322,0.25518205761909485,0.38461539149284363,0.692307710647583,1.0,
1,6,0.24695914132254465,0.2553614675998688,0.38461539149284363,0.692307710647583,1.0,
1,7,0.24561454781464168,0.2554931938648224,0.38461539149284363,0.692307710647583,1.0,
1,8,0.2466217087847846,0.2556721568107605,0.38461539149284363,0.692307710647583,1.0,
1,9,0.24773109597819193,0.25588107109069824,0.38461539149284363,0.692307710647583,1.0,
1,10,0.2469642162322998,0.25601059198379517,0.38461539149284363,0.692307710647583,1.0,
1,11,0.24685502690928324,0.2561374604701996,0.38461539149284363,0.692307710647583,1.0,
3,1,0.24862557010991232,0.2547324597835541,0.38461539149284363,0.692307710647583,1.0,-0.006106889673641758
3,2,0.2469673752784729,0.2552291750907898,0.38461539149284363,0.692307710647583,1.0,-0.008261799812316895
3,3,0.24740889242717198,0.2558182179927826,0.38461539149284363,0.692307710647583,1.0,-0.00840932556561061
3,4,0.24758673352854593,0.2560732662677765,0.38461539149284363,0.692307710647583,1.0,-0.008486532739230557
3,5,0.24664618287767684,0.25632667541503906,0.38461539149284363,0.692307710647583,1.0,-0.009680492537362223
3,6,0.2463772999388831,0.25662747025489807,0.38461539149284363,0.692307710647583,1.0,-0.010250170316014967
3,7,0.24728412287575857,0.2569217383861542,0.38461539149284363,0.692307710647583,1.0,-0.009637615510395603
3,8,0.2459732996565955,0.25722256302833557,0.38461539149284363,0.692307710647583,1.0,-0.011249263371740065
3,9,0.24651621069226945,0.2574106454849243,0.38461539149284363,0.692307710647583,1.0,-0.010894434792654867
