phase,epoch,train_loss,val_loss,acc_h1,acc_h5,acc_h20
1,1,0.2439438329802619,0.24532448819705419,0.563122923885073,0.5429817267826625,0.5806166955402919
1,2,0.24406017363071442,0.24531032570770808,0.5653550667422158,0.5429817267826625,0.5784364598137992
1,3,0.24421072668499416,0.24529674436364854,0.5653550667422158,0.5474460124969482,0.5839908633913312
1,4,0.2445549342367384,0.24528411669390543,0.5608907810279301,0.5429817267826625,0.5673276611736843
1,5,0.24417498740884994,0.24529690827642167,0.5608907810279301,0.5407495839255196,0.5784364598137992
1,6,0.2442280838886897,0.245264076760837,0.5675872095993587,0.5519102982112339,0.5673276611736843
1,7,0.2442061487171385,0.2452660288129534,0.5675872095993587,0.5429817267826625,0.5617732575961522
1,8,0.2440928465790219,0.24523174975599563,0.5653550667422158,0.5519102982112339,0.5640054004532951
1,9,0.24409749309221904,0.24522337743214198,0.5675872095993587,0.5474460124969482,0.57179194688797
1,10,0.24408316446675193,0.2452385276556015,0.5608907810279301,0.5452138696398053,0.5695598040308271
1,11,0.24391231901115842,0.24522883338587625,0.5698193524565015,0.5452138696398053,0.5695598040308271
1,12,0.24395802881982592,0.24522649390356882,0.5698193524565015,0.5474460124969482,0.5673276611736843
1,13,0.24387446377012464,0.24521857074328832,0.5675872095993587,0.5452138696398053,0.5706499133791242
1,14,0.2435983657836914,0.2452092170715332,0.5675872095993587,0.5452138696398053,0.5706499133791242
1,15,0.24350816706816356,0.24520916172436305,0.5675872095993587,0.5429817267826625,0.5684177705219814
1,16,0.2436931308772829,0.2451998953308378,0.5720514953136444,0.5429817267826625,0.5673276611736843
1,17,0.24399957060813904,0.24519754946231842,0.5698193524565015,0.5452138696398053,0.5695598040308271
1,18,0.2438140716817644,0.24520109380994523,0.5698193524565015,0.5452138696398053,0.5739721740995135
1,19,0.24416199094719357,0.24519112493310655,0.5720514953136444,0.5452138696398053,0.5739721740995135
