phase,epoch,train_loss,val_loss,acc_h1,acc_h5,acc_h20
1,1,0.2472913401282352,0.24589755094569662,0.545981122099835,0.5484482270220051,0.5528818653977435
1,2,0.2473181725844093,0.24593228555243948,0.5464459372603375,0.550486270500266,0.5526673353236654
1,3,0.2472117446039034,0.24596105127230936,0.5473398177520089,0.5516304347826086,0.5533466831497524
1,4,0.24722786182942597,0.24598984549874844,0.5448369565217391,0.5491275748480922,0.5560640744541002
1,5,0.2470650297144185,0.246017434026884,0.5461956521739131,0.5477688791959182,0.5540260309758394
1,6,0.24709188808565555,0.24603545665740967,0.5475543478260869,0.5459453657917355,0.5567434222801871
1,7,0.2470207479984864,0.24605206367762192,0.5457308357176573,0.5459453657917355,0.560819509236709
1,8,0.2468836352876995,0.2460762806560682,0.5473040614439093,0.5432279744873876,0.5621782048888828
1,9,0.24701493913712708,0.24608936257984326,0.5452660179656484,0.5452660179656484,0.560819509236709
1,10,0.2470091004734454,0.24610460387623828,0.542763158031132,0.5452660179656484,0.5626430200493854
1,11,0.24708151558171149,0.24611283579598303,0.5434425058572189,0.5466247136178224,0.5612843243972115
