phase,epoch,train_loss,val_loss,acc_h1,acc_h5,acc_h20
1,1,0.24708854489856297,0.24758187433083853,0.5094521641731262,0.5250771641731262,0.6114969054857889
1,2,0.24683589488267899,0.24755407373110452,0.5084876517454783,0.5302854975064596,0.6167052388191223
1,3,0.24692225539022022,0.24753489593664804,0.5023148159186045,0.5302854975064596,0.6167052388191223
1,4,0.24691985050837198,0.24751178920269012,0.5023148159186045,0.5354938308397929,0.6114969054857889
1,5,0.24705091449949476,0.24749919772148132,0.5023148159186045,0.5241126517454783,0.6114969054857889
1,6,0.24681647618611655,0.24748276670773825,0.5023148159186045,0.518904318412145,0.6114969054857889
1,7,0.24692346735133064,0.24747232099374136,0.5023148159186045,0.518904318412145,0.6114969054857889
1,8,0.24682857592900595,0.24746370315551758,0.5146604975064596,0.518904318412145,0.6114969054857889
1,9,0.24685360739628473,0.247460866967837,0.5146604975064596,0.518904318412145,0.6114969054857889
1,10,0.24680432428916296,0.2474559893210729,0.5146604975064596,0.518904318412145,0.6114969054857889
1,11,0.24686189658111996,0.2474458614985148,0.5084876517454783,0.518904318412145,0.6114969054857889
1,12,0.2468827548954222,0.24743628005186716,0.5023148159186045,0.5250771641731262,0.6114969054857889
1,13,0.24701244052913454,0.24743515253067017,0.5023148159186045,0.518904318412145,0.6114969054857889
1,14,0.2467556612359153,0.24742806951204935,0.4971064825852712,0.5136959850788116,0.6114969054857889
1,15,0.2467950830856959,0.2474232961734136,0.5023148159186045,0.5136959850788116,0.6114969054857889
1,16,0.24675035062763426,0.2474186917146047,0.4971064825852712,0.5250771641731262,0.6114969054857889
1,17,0.24685339878002802,0.24741662542025247,0.4971064825852712,0.5250771641731262,0.6114969054857889
