phase,epoch,train_loss,val_loss,acc_h1,acc_h5,acc_h20,gap
1,1,0.2463931143283844,0.2530418932437897,0.38461539149284363,0.5384615659713745,1.0,
1,2,0.24650133294718607,0.2532625198364258,0.38461539149284363,0.5384615659713745,1.0,
1,3,0.24411773894514358,0.25347429513931274,0.38461539149284363,0.5384615659713745,1.0,
1,4,0.2474562589611326,0.25365710258483887,0.38461539149284363,0.5384615659713745,1.0,
1,5,0.24423197550433023,0.2538456618785858,0.38461539149284363,0.5384615659713745,1.0,
1,6,0.24545426879610335,0.2540479302406311,0.38461539149284363,0.5384615659713745,1.0,
1,7,0.24377148066248214,0.25422996282577515,0.38461539149284363,0.5384615659713745,1.0,
1,8,0.2439937527690615,0.2544860243797302,0.38461539149284363,0.5384615659713745,1.0,
1,9,0.24469750268118723,0.25472378730773926,0.38461539149284363,0.5384615659713745,1.0,
1,10,0.2443649492093495,0.25485870242118835,0.38461539149284363,0.5384615659713745,1.0,
1,11,0.24355979476656234,0.2550387978553772,0.38461539149284363,0.5384615659713745,1.0,
3,1,0.24629677832126617,0.2533220648765564,0.38461539149284363,0.5384615659713745,1.0,-0.007025286555290222
3,2,0.2469975905758994,0.2539127767086029,0.38461539149284363,0.5384615659713745,1.0,-0.006915186132703505
3,3,0.24505445786884852,0.25425973534584045,0.38461539149284363,0.5384615659713745,1.0,-0.00920527747699193
3,4,0.24714352829115732,0.25458770990371704,0.38461539149284363,0.5384615659713745,1.0,-0.007444181612559719
3,5,0.2439185529947281,0.2548919916152954,0.38461539149284363,0.5384615659713745,1.0,-0.010973438620567322
3,6,0.24494205840996333,0.2551545202732086,0.38461539149284363,0.5384615659713745,1.0,-0.010212461863245287
3,7,0.24454688174383982,0.25526830554008484,0.38461539149284363,0.5384615659713745,1.0,-0.010721423796245022
3,8,0.24582828368459428,0.2552725076675415,0.38461539149284363,0.5384615659713745,1.0,-0.009444223982947225
3,9,0.24543173824037826,0.25533732771873474,0.38461539149284363,0.5384615659713745,1.0,-0.009905589478356486
