phase,epoch,train_loss,val_loss,acc_h1,acc_h5,acc_h20,gap
1,1,0.24630368394511087,0.2532586455345154,0.5384615659713745,0.692307710647583,1.0,
1,2,0.24779352119990758,0.25340086221694946,0.5384615659713745,0.692307710647583,1.0,
1,3,0.24731730563299997,0.2535252273082733,0.5384615659713745,0.692307710647583,1.0,
1,4,0.24559694741453444,0.253610759973526,0.5384615659713745,0.692307710647583,1.0,
1,5,0.24479669545378005,0.253755658864975,0.5384615659713745,0.692307710647583,1.0,
1,6,0.24555784251008714,0.25391069054603577,0.5384615659713745,0.692307710647583,1.0,
1,7,0.24618477055004664,0.2540227174758911,0.5384615659713745,0.692307710647583,1.0,
1,8,0.2451583253485816,0.25412875413894653,0.5384615659713745,0.692307710647583,1.0,
1,9,0.24629677832126617,0.25422608852386475,0.5384615659713745,0.692307710647583,1.0,
1,10,0.24649895514760697,0.2542949914932251,0.5384615659713745,0.692307710647583,1.0,
1,11,0.24580641729491098,0.2543486952781677,0.5384615659713745,0.692307710647583,1.0,
3,1,0.24569185291017806,0.2534606158733368,0.5384615659713745,0.692307710647583,1.0,-0.007768762963158732
3,2,0.24685367516108922,0.25369757413864136,0.5384615659713745,0.692307710647583,1.0,-0.0068438989775521375
3,3,0.24478095769882202,0.2538442015647888,0.5384615659713745,0.692307710647583,1.0,-0.009063243865966797
3,4,0.24657910423619406,0.25400930643081665,0.5384615659713745,0.692307710647583,1.0,-0.007430202194622593
3,5,0.24573008290358953,0.2541220486164093,0.5384615659713745,0.692307710647583,1.0,-0.008391965712819777
3,6,0.24708619288035802,0.254274845123291,0.5384615659713745,0.692307710647583,1.0,-0.007188652242932997
3,7,0.2450227290391922,0.2543495297431946,0.5384615659713745,0.692307710647583,1.0,-0.00932680070400238
3,8,0.24610517280442373,0.25443023443222046,0.5384615659713745,0.692307710647583,1.0,-0.008325061627796726
3,9,0.24495840072631836,0.25453895330429077,0.5384615659713745,0.692307710647583,1.0,-0.009580552577972412
