fold,epoch,lr,train_loss,train_bce,train_huber,train_grad_norm,train_acc_h1,train_acc_h5,train_acc_h20,train_mean_acc,val_loss,val_bce,val_huber,val_grad_norm,val_acc_h1,val_acc_h5,val_acc_h20,val_mean_acc,gap
1,1,2.9999999999999997e-05,0.24869788461124775,0.490051375682821,0.007344392569946874,0.018238389334094125,0.5151779961954687,0.5029941205050528,0.5038720200356749,0.5073480455787321,0.24867073888890445,0.489300777669996,0.008040701017307583,0.0,0.5312617188319564,0.520279785618186,0.5031142579391599,0.5182185874631008,2.714572234330248e-05
1,2,5.9999999999999995e-05,0.24781296778585493,0.4883193274595074,0.007306607886572781,0.019878097817052118,0.5400430895772177,0.5225374517367058,0.5139094717109326,0.5254966710082853,0.24887788109481335,0.4897271962836385,0.008028564145206474,0.0,0.532791992649436,0.5238764649257064,0.5156557615846395,0.5241080730532607,-0.001064913308958415
1,3,8.999999999999999e-05,0.24753630698956164,0.4877862734432073,0.0072863410987900855,0.01926778353625889,0.5411706668968054,0.5299049613555682,0.5184519974534044,0.529842541901926,0.2487606704235077,0.4894955800846219,0.008025755792914424,0.0,0.5317617189139128,0.5246074218302965,0.5163110354915261,0.5242267254119118,-0.0012243634339460518
1,4,0.00011999999999999999,0.24744513899702386,0.48757805099192353,0.007312227057331463,0.01897153838239994,0.5454917043140254,0.5280645941336131,0.5229703608861903,0.5321755531112763,0.2487818137742579,0.4895359496586025,0.008027680472878274,0.0,0.5310249021276832,0.5272958986461163,0.5193134769797325,0.5258780925845107,-0.001336674777234037
1,5,0.00015,0.24736945657539613,0.48746129540131267,0.007277619226874073,0.01975658346572411,0.547863643693248,0.5271826675257731,0.5186191205050528,0.5312218105746913,0.24871675251051784,0.48940357472747564,0.008029933109355625,0.0,0.534423828125,0.5261245118454099,0.5186464842408895,0.5263982747370998,-0.0013472959351217006
1,6,0.00017999999999999998,0.2472834807158131,0.4872944076958391,0.007272554392273509,0.017315426188492283,0.5471528673294893,0.5320554123711341,0.5235905283581965,0.53426626935294,0.2487600166350603,0.48949505342170596,0.008024976305023301,0.0,0.5326464842073619,0.5205629882402718,0.5243574222549796,0.5258556315675378,-0.0014765359192472072
1,7,0.00020999999999999998,0.24699388052692117,0.48670093300416295,0.00728682862695537,0.0177911053262843,0.5534652867882522,0.5321701836493826,0.5249214723091764,0.5368523142489371,0.2490204619243741,0.4900015261955559,0.008039394720981363,0.0,0.5333251953125,0.5245405277237296,0.5197216793894768,0.5258624674752355,-0.002026581397452931
1,8,0.00023999999999999998,0.24684457046930322,0.48643237252518073,0.007256768755470738,0.017944661914803012,0.5542706991593862,0.5356958763501078,0.5273175741133002,0.5390947165409314,0.24847597326152027,0.48893365217372775,0.008018293003260624,0.0,0.5313706053420901,0.5257597658783197,0.5205937502905726,0.5259080405036608,-0.001631402792217046
1,9,0.00027,0.24651031157712347,0.48576599082995936,0.007254631580189639,0.019115562680340613,0.5613200709070127,0.5383537371748501,0.5275672519406707,0.5424136866741779,0.2488808964844793,0.4897253420203924,0.008036450977670029,0.0,0.5314897461794317,0.5283959964290261,0.5200458988547325,0.5266438804877301,-0.0023705849073558383
1,10,0.0003,0.24648010100900514,0.4857097569968283,0.0072504435953943385,0.018206520891777173,0.5588776578685057,0.5376570554277331,0.527599468443197,0.541378060579812,0.24897761270403862,0.4899240857921541,0.008031139812374022,0.0,0.5276591796427965,0.5238081058487296,0.5191972656175494,0.5235548503696918,-0.002497511695033483
1,11,0.00021401256266247555,0.24635611017493858,0.4854473333383344,0.007264887151961243,0.01981243741765772,0.5617509665562934,0.539833682406809,0.5304123711647447,0.5439990067092824,0.24942247802391648,0.49079586984589696,0.008049082913203165,0.0,0.5307109374552965,0.527054687961936,0.5221850583329797,0.5266502279167374,-0.0030663678489779023
1,12,0.00019984468211069127,0.2462097255839515,0.48513006073297915,0.007289390972594625,0.02189498218304487,0.5636698614767531,0.544374194649077,0.5257470199895888,0.5445970253718063,0.24902392621152103,0.4900117409415543,0.008036110688408371,0.0,0.5295527344569564,0.5266752932220697,0.5228505861014128,0.526359537926813,-0.002814200627569541
1,13,0.0001851854738373492,0.2457785615985541,0.48431187038569107,0.007245253235072896,0.02269409003321888,0.5703950547757223,0.5444426546545372,0.5287069104535064,0.547848206627922,0.24918367131613195,0.4903306462801993,0.0080366990659968,0.0,0.5285078128799796,0.5248442385345697,0.525044921785593,0.5261323244000474,-0.0034051097175778477
1,14,0.0001701955471959286,0.24560161641578085,0.4839622308452105,0.007241000961416315,0.023703154524519425,0.5720924613709303,0.5481495651387677,0.5305613724841285,0.5502677996646088,0.2506776286754757,0.49326970102265477,0.008085563764325343,0.0,0.5290585933253169,0.5219189450144768,0.5211445316672325,0.5240406900023421,-0.005076012259694868
1,15,0.00015503913495955668,0.24543376677890413,0.48361923822115377,0.007248296664029206,0.027113138534819958,0.5746999839224767,0.5477307506443299,0.5309036727418605,0.551111469102889,0.2500424236059189,0.4920202558860183,0.008064586341788527,0.0,0.5293159177526832,0.5206342777237296,0.5173022458329797,0.5224174804364642,-0.004608656827014751
1,16,0.00013988229395237842,0.24492742681933433,0.48261630143394174,0.007238552706392924,0.029984689173624686,0.5791156572318569,0.5476582635616519,0.5312661083088708,0.5526800097007932,0.24999930523335934,0.4919467172585428,0.008051893004449084,0.0,0.5254648439586163,0.5257089845836163,0.5201069340109825,0.523760254184405,-0.005071878414025011
1,17,0.00012489108569624122,0.24481984273981802,0.4824207110196045,0.007218975644587472,0.03204559304837867,0.5803942493710321,0.547815318958661,0.5318822487420642,0.5533639390239191,0.25087111024186015,0.4936669864691794,0.00807523349794792,0.0,0.5283916015177965,0.5197827145457268,0.5186435543000698,0.5222726234545311,-0.006051267502042129
1,18,0.00011022975700591142,0.24467835725121892,0.4821416710301773,0.007215044029133836,0.033361495381278784,0.5833460857573244,0.5518242590820667,0.5333823292833013,0.5561842247075641,0.25017298804596066,0.4922862076200545,0.00805977034906391,0.0,0.5263686524704099,0.5259501952677965,0.5234609376639128,0.525259928467373,-0.005494630794741745
1,19,9.605894046660052e-05,0.24433147937981123,0.48147419517494966,0.007188762529733946,0.03561795519703289,0.5846246778964996,0.5520477609843323,0.5335796552988672,0.5567506980598997,0.25066523370333016,0.49325719801709056,0.00807326667563757,0.0,0.5277753910049796,0.5239287111908197,0.5219350587576628,0.5245463869844874,-0.006333754323518931
1,20,8.253389450974719e-05,0.24432757485312284,0.4814655629476321,0.007189587025048653,0.03860850781970417,0.5836199259327859,0.5556399001903141,0.5323332797006234,0.5571977019412411,0.25097766844555736,0.49387782718986273,0.008077507343841717,0.0,0.5279599605128169,0.5241757808253169,0.5200385740026832,0.5240581051136056,-0.006650093592434514
1,21,6.980280236915252e-05,0.24396104611379585,0.48072465908588824,0.007197430472552162,0.040891537164366734,0.5871053479381443,0.5555090206800047,0.5342582152369096,0.5589575279516862,0.25075719109736383,0.4934427561238408,0.008071633528743405,0.0,0.5268061524257064,0.5254589840769768,0.5193105470389128,0.523858561180532,-0.006796144983567981
1,22,5.800514855446122e-05,0.24396931575899272,0.48072754845176774,0.007211082094089733,0.04217755967347892,0.5877758537985615,0.5527283344225785,0.5301707474534044,0.5568916452248481,0.25070352223701775,0.4933391842059791,0.00806785914755892,0.0,0.5269892578944564,0.5227778321132064,0.5208959961310029,0.5235543620462219,-0.006734206478025029
1,23,4.7270190629684855e-05,0.2436356806801152,0.48010035573514465,0.007171007810573372,0.0441920467815602,0.5915109536696955,0.5555935889175257,0.5363925580204147,0.5611657002025453,0.2508973106741905,0.49372538086026907,0.008069242983765434,0.0,0.5267597660422325,0.5243618162348866,0.5208959961310029,0.5240058594693741,-0.007261629994075314
1,24,3.7715543040281546e-05,0.2433632197069753,0.4795310867508662,0.00719535159614398,0.04655414210997291,0.592847938159692,0.5553902223245385,0.5336279800334542,0.5606220468392282,0.2509404830634594,0.4938118006102741,0.008069172006798908,0.0,0.5285180667415261,0.5253325197845697,0.5207768557593226,0.5248758140951395,-0.007577263356484093
1,25,2.9445888504679417e-05,0.24329571560332455,0.47940602883235695,0.007185402442701161,0.04866444223473981,0.5920727287524754,0.5590427674583553,0.5321943460358787,0.5611032807489031,0.25128039973787963,0.4944844553247094,0.008076349004113581,0.0,0.5290673831477761,0.5217998046427965,0.5193105470389128,0.5233925782764951,-0.007984684134555081
1,26,2.2551831088506955e-05,0.24312002496006563,0.4790648975476776,0.007175151120688881,0.04781312290003005,0.5939996778657756,0.5586883859689703,0.5340004832551037,0.5622295156966165,0.25120189948938787,0.49433058639988303,0.00807321461616084,0.0,0.5276723634451628,0.5242934571579099,0.5191884767264128,0.5237180991098285,-0.008081874529322242
1,27,1.7108903527490056e-05,0.24329550095747426,0.4794413403598304,0.007149660452173005,0.04969776917210559,0.5924532860901552,0.5540492107573244,0.5358670264789739,0.5607898411088178,0.2513672229833901,0.4946580878458917,0.00807636245735921,0.0,0.5274238279089332,0.5230712890625,0.5209003910422325,0.5237985026712219,-0.008071722025915828
1,28,1.3176739674993004e-05,0.2430476740617113,0.47890417523605305,0.007191172881368739,0.05062678415021024,0.5947225354995924,0.55844676225763,0.5348501933604172,0.5626731637058798,0.25148126063868403,0.4948830893263221,0.008079431223450229,0.0,0.527486328035593,0.5221020504832268,0.5193671872839332,0.5229851886009177,-0.00843358657697274
