78887i8p2026-04-02 04:26:17,234  INFO      Stage 5 Training Loop — Start
2026-04-02 04:27:28,913  INFO          Index built: 94067 samples from 104 files
2026-04-02 04:27:30,073  INFO          Index built: 15466 samples from 104 files
2026-04-02 04:27:30,074  INFO        Train samples: 94067  Val samples: 15466
2026-04-02 04:27:42,879  INFO      Starting training — max 200 epochs, patience 20
2026-04-02 04:33:13,348  INFO      Epoch   1 | TrainLoss 0.0905 (BCE 0.1737 Huber 0.0074) | ValLoss 0.0905 (BCE 0.1730 Huber 0.0080) | Gap 0.0000 | ValAcc H1=0.530 H5=0.522 H20=0.510 | LR 3.00e-05 | GradNorm 0.008
2026-04-02 04:38:39,490  INFO      Epoch   2 | TrainLoss 0.0901 (BCE 0.1727 Huber 0.0074) | ValLoss 0.0905 (BCE 0.1729 Huber 0.0080) | Gap -0.0004 | ValAcc H1=0.533 H5=0.523 H20=0.513 | LR 6.00e-05 | GradNorm 0.006
2026-04-02 04:44:01,918  INFO      Epoch   3 | TrainLoss 0.0899 (BCE 0.1725 Huber 0.0073) | ValLoss 0.0907 (BCE 0.1734 Huber 0.0080) | Gap -0.0008 | ValAcc H1=0.532 H5=0.527 H20=0.513 | LR 9.00e-05 | GradNorm 0.006
2026-04-02 04:49:28,806  INFO      Epoch   4 | TrainLoss 0.0899 (BCE 0.1725 Huber 0.0073) | ValLoss 0.0905 (BCE 0.1731 Huber 0.0080) | Gap -0.0006 | ValAcc H1=0.537 H5=0.529 H20=0.515 | LR 1.20e-04 | GradNorm 0.006
2026-04-02 04:55:00,333  INFO      Epoch   5 | TrainLoss 0.0898 (BCE 0.1724 Huber 0.0073) | ValLoss 0.0905 (BCE 0.1729 Huber 0.0080) | Gap -0.0006 | ValAcc H1=0.538 H5=0.526 H20=0.517 | LR 1.50e-04 | GradNorm 0.005
2026-04-02 05:00:32,455  INFO      Epoch   6 | TrainLoss 0.0898 (BCE 0.1723 Huber 0.0073) | ValLoss 0.0907 (BCE 0.1733 Huber 0.0080) | Gap -0.0009 | ValAcc H1=0.536 H5=0.527 H20=0.521 | LR 1.80e-04 | GradNorm 0.005
2026-04-02 05:06:01,748  INFO      Epoch   7 | TrainLoss 0.0898 (BCE 0.1722 Huber 0.0073) | ValLoss 0.0905 (BCE 0.1730 Huber 0.0080) | Gap -0.0008 | ValAcc H1=0.535 H5=0.529 H20=0.522 | LR 2.10e-04 | GradNorm 0.005
2026-04-02 05:11:41,171  INFO      Epoch   8 | TrainLoss 0.0897 (BCE 0.1721 Huber 0.0073) | ValLoss 0.0906 (BCE 0.1731 Huber 0.0080) | Gap -0.0009 | ValAcc H1=0.529 H5=0.521 H20=0.516 | LR 2.40e-04 | GradNorm 0.005
